Country Name,Capital,Latitude,Longitude,Country Code,Continent
Jordan,Amman,31.95,35.933333,JO,Asia
Palestine,Jerusalem,31.76666667,35.233333,PS,Asia
Australia,Canberra,-35.26666667,149.133333,AU,Australia
Canada,Ottawa,45.41666667,-75.7,CA,North America
China,Beijing,39.91666667,116.383333,CN,Asia
Denmark,Copenhagen,55.66666667,12.583333,DK,Europe
France,Paris,48.86666667,2.333333,FR,Europe
Germany,Berlin,52.51666667,13.4,DE,Europe
Israel,Jerusalem,31.76666667,35.233333,IL,Asia
Japan,Tokyo,35.68333333,139.75,JP,Asia
Netherlands,Amsterdam,52.35,4.916667,NL,Europe
Norway,Oslo,59.91666667,10.75,NO,Europe
Singapore,Singapore,1.283333333,103.85,SG,Asia
South Korea,Seoul,37.55,126.983333,KR,Asia
Sweden,Stockholm,59.33333333,18.05,SE,Europe
Switzerland,Bern,46.91666667,7.466667,CH,Europe
Taiwan,Taipei,25.03333333,121.516667,TW,Asia
United Kingdom,London,51.5,-0.083333,GB,Europe
USA,Washington,38.883333,-77,US,North America
Egypt,Cairo,30.05,31.25,EG,Africa
